healthboard,date,hai,ai,pc
Velindre NHST,2020-03-01,0,0,0.0
Velindre NHST,2020-03-08,0,0,0.0
Velindre NHST,2020-03-15,0,0,0.0
Velindre NHST,2020-03-22,0,0,0.0
Velindre NHST,2020-03-29,1,7,14.0
Velindre NHST,2020-04-05,3,6,50.0
Velindre NHST,2020-04-12,0,3,0.0
Velindre NHST,2020-04-19,0,2,0.0
Velindre NHST,2020-04-26,0,1,0.0
Velindre NHST,2020-05-03,0,2,0.0
Velindre NHST,2020-05-10,0,1,0.0
Velindre NHST,2020-05-17,0,1,0.0
Velindre NHST,2020-05-24,0,0,0.0
Velindre NHST,2020-05-31,0,0,0.0
Velindre NHST,2020-06-07,0,0,0.0
Velindre NHST,2020-06-14,0,0,0.0
Velindre NHST,2020-06-21,0,0,0.0
Velindre NHST,2020-06-28,0,0,0.0
Velindre NHST,2020-07-05,0,0,0.0
Velindre NHST,2020-07-12,0,0,0.0
Velindre NHST,2020-07-19,0,0,0.0
Velindre NHST,2020-07-26,0,0,0.0
Velindre NHST,2020-08-02,0,0,0.0
Velindre NHST,2020-08-09,0,0,0.0
Velindre NHST,2020-08-16,0,0,0.0
Velindre NHST,2020-08-23,0,0,0.0
Velindre NHST,2020-08-30,0,0,0.0
Velindre NHST,2020-09-06,0,0,0.0
Velindre NHST,2020-09-13,0,0,0.0
Velindre NHST,2020-09-20,0,0,0.0
Velindre NHST,2020-09-27,0,0,0.0
Velindre NHST,2020-10-04,0,0,0.0
Velindre NHST,2020-10-11,0,0,0.0
Velindre NHST,2020-10-18,0,0,0.0
Velindre NHST,2020-10-25,0,0,0.0
Velindre NHST,2020-11-01,0,0,0.0
Velindre NHST,2020-11-08,0,0,0.0
Velindre NHST,2020-11-15,0,0,0.0
Velindre NHST,2020-11-22,1,0,0.0
Velindre NHST,2020-11-29,0,0,0.0
Velindre NHST,2020-12-06,1,1,100.0
Velindre NHST,2020-12-13,2,2,100.0
Velindre NHST,2020-12-20,2,4,50.0
Velindre NHST,2020-12-27,0,1,0.0
Velindre NHST,2021-01-03,0,1,0.0
Velindre NHST,2021-01-10,0,1,0.0
Velindre NHST,2021-01-17,0,1,0.0
Velindre NHST,2021-01-24,0,0,0.0
Velindre NHST,2021-01-31,0,1,0.0
Velindre NHST,2021-02-07,0,1,0.0
Velindre NHST,2021-02-14,0,0,0.0
Velindre NHST,2021-02-21,0,0,0.0
Velindre NHST,2021-02-28,0,0,0.0
Velindre NHST,2021-03-07,0,0,0.0
Velindre NHST,2021-03-14,0,0,0.0
Velindre NHST,2021-03-21,0,0,0.0
Velindre NHST,2021-03-28,0,0,0.0
Velindre NHST,2021-04-04,0,0,0.0
Velindre NHST,2021-04-11,0,0,0.0
Velindre NHST,2021-04-18,0,0,0.0
Velindre NHST,2021-04-25,0,0,0.0
Velindre NHST,2021-05-02,0,0,0.0
Velindre NHST,2021-05-09,0,0,0.0
Velindre NHST,2021-05-16,0,0,0.0
Velindre NHST,2021-05-23,0,0,0.0
Velindre NHST,2021-05-30,0,0,0.0
Velindre NHST,2021-06-06,0,0,0.0
Velindre NHST,2021-06-13,0,0,0.0
Velindre NHST,2021-06-20,0,0,0.0
Velindre NHST,2021-06-27,0,0,0.0
Velindre NHST,2021-07-04,0,0,0.0
Velindre NHST,2021-07-11,0,0,0.0
Velindre NHST,2021-07-18,0,0,0.0
Velindre NHST,2021-07-25,0,0,0.0
Velindre NHST,2021-08-01,0,0,0.0
Velindre NHST,2021-08-08,0,0,0.0
Velindre NHST,2021-08-15,0,0,0.0
Velindre NHST,2021-08-22,0,0,0.0
Velindre NHST,2021-08-29,0,0,0.0
Velindre NHST,2021-09-05,0,0,0.0
Velindre NHST,2021-09-12,0,0,0.0
Velindre NHST,2021-09-19,0,0,0.0
Velindre NHST,2021-09-26,0,1,0.0
Velindre NHST,2021-10-03,0,0,0.0
Velindre NHST,2021-10-10,0,0,0.0
Velindre NHST,2021-10-17,0,0,0.0
Velindre NHST,2021-10-24,0,1,0.0
Velindre NHST,2021-10-31,0,1,0.0
Velindre NHST,2021-11-07,0,0,0.0
Velindre NHST,2021-11-14,0,1,0.0
Velindre NHST,2021-11-21,0,2,0.0
Velindre NHST,2021-11-28,0,1,0.0
Velindre NHST,2021-12-05,0,1,0.0
Velindre NHST,2021-12-12,0,0,0.0
Velindre NHST,2021-12-19,0,0,0.0
Velindre NHST,2021-12-26,0,0,0.0
Velindre NHST,2022-01-02,0,0,0.0
Velindre NHST,2022-01-09,0,0,0.0
Velindre NHST,2022-01-16,0,0,0.0
Velindre NHST,2022-01-23,1,1,100.0
Velindre NHST,2022-01-30,1,2,50.0
Velindre NHST,2022-02-06,1,2,50.0
Velindre NHST,2022-02-13,1,2,50.0
Velindre NHST,2022-02-20,0,1,0.0
Velindre NHST,2022-02-27,0,1,0.0
Velindre NHST,2022-03-06,0,0,0.0
Velindre NHST,2022-03-13,0,0,0.0
Velindre NHST,2022-03-20,0,0,0.0
Velindre NHST,2022-03-27,0,0,0.0
Swansea Bay UHB,2020-03-01,0,0,0.0
Swansea Bay UHB,2020-03-08,0,1,0.0
Swansea Bay UHB,2020-03-15,0,2,0.0
Swansea Bay UHB,2020-03-22,4,12,33.0
Swansea Bay UHB,2020-03-29,13,42,31.0
Swansea Bay UHB,2020-04-05,72,145,50.0
Swansea Bay UHB,2020-04-12,62,195,32.0
Swansea Bay UHB,2020-04-19,35,206,17.0
Swansea Bay UHB,2020-04-26,17,165,10.0
Swansea Bay UHB,2020-05-03,4,96,4.0
Swansea Bay UHB,2020-05-10,0,56,0.0
Swansea Bay UHB,2020-05-17,0,28,0.0
Swansea Bay UHB,2020-05-24,1,17,6.0
Swansea Bay UHB,2020-05-31,0,6,0.0
Swansea Bay UHB,2020-06-07,0,5,0.0
Swansea Bay UHB,2020-06-14,0,3,0.0
Swansea Bay UHB,2020-06-21,1,2,50.0
Swansea Bay UHB,2020-06-28,0,1,0.0
Swansea Bay UHB,2020-07-05,0,2,0.0
Swansea Bay UHB,2020-07-12,2,3,67.0
Swansea Bay UHB,2020-07-19,1,6,17.0
Swansea Bay UHB,2020-07-26,2,9,22.0
Swansea Bay UHB,2020-08-02,1,5,20.0
Swansea Bay UHB,2020-08-09,0,1,0.0
Swansea Bay UHB,2020-08-16,0,1,0.0
Swansea Bay UHB,2020-08-23,0,0,0.0
Swansea Bay UHB,2020-08-30,0,0,0.0
Swansea Bay UHB,2020-09-06,0,1,0.0
Swansea Bay UHB,2020-09-13,0,2,0.0
Swansea Bay UHB,2020-09-20,0,4,0.0
Swansea Bay UHB,2020-09-27,0,6,0.0
Swansea Bay UHB,2020-10-04,1,18,6.0
Swansea Bay UHB,2020-10-11,9,38,24.0
Swansea Bay UHB,2020-10-18,25,72,35.0
Swansea Bay UHB,2020-10-25,59,141,42.0
Swansea Bay UHB,2020-11-01,41,177,23.0
Swansea Bay UHB,2020-11-08,48,233,21.0
Swansea Bay UHB,2020-11-15,80,274,29.0
Swansea Bay UHB,2020-11-22,51,275,19.0
Swansea Bay UHB,2020-11-29,43,266,16.0
Swansea Bay UHB,2020-12-06,52,287,18.0
Swansea Bay UHB,2020-12-13,80,318,25.0
Swansea Bay UHB,2020-12-20,56,330,17.0
Swansea Bay UHB,2020-12-27,40,321,12.0
Swansea Bay UHB,2021-01-03,39,310,13.0
Swansea Bay UHB,2021-01-10,39,291,13.0
Swansea Bay UHB,2021-01-17,50,243,21.0
Swansea Bay UHB,2021-01-24,44,246,18.0
Swansea Bay UHB,2021-01-31,39,222,18.0
Swansea Bay UHB,2021-02-07,24,177,14.0
Swansea Bay UHB,2021-02-14,35,156,22.0
Swansea Bay UHB,2021-02-21,27,125,22.0
Swansea Bay UHB,2021-02-28,14,104,13.0
Swansea Bay UHB,2021-03-07,12,83,14.0
Swansea Bay UHB,2021-03-14,10,63,16.0
Swansea Bay UHB,2021-03-21,4,38,11.0
Swansea Bay UHB,2021-03-28,12,40,30.0
Swansea Bay UHB,2021-04-04,3,31,10.0
Swansea Bay UHB,2021-04-11,6,31,19.0
Swansea Bay UHB,2021-04-18,13,34,38.0
Swansea Bay UHB,2021-04-25,14,40,35.0
Swansea Bay UHB,2021-05-02,6,34,18.0
Swansea Bay UHB,2021-05-09,4,29,14.0
Swansea Bay UHB,2021-05-16,4,23,17.0
Swansea Bay UHB,2021-05-23,1,18,6.0
Swansea Bay UHB,2021-05-30,2,13,15.0
Swansea Bay UHB,2021-06-06,0,14,0.0
Swansea Bay UHB,2021-06-13,0,10,0.0
Swansea Bay UHB,2021-06-20,2,9,22.0
Swansea Bay UHB,2021-06-27,0,6,0.0
Swansea Bay UHB,2021-07-04,2,5,40.0
Swansea Bay UHB,2021-07-11,1,6,17.0
Swansea Bay UHB,2021-07-18,1,9,11.0
Swansea Bay UHB,2021-07-25,0,13,0.0
Swansea Bay UHB,2021-08-01,6,20,30.0
Swansea Bay UHB,2021-08-08,2,15,13.0
Swansea Bay UHB,2021-08-15,4,18,22.0
Swansea Bay UHB,2021-08-22,1,29,3.0
Swansea Bay UHB,2021-08-29,6,39,15.0
Swansea Bay UHB,2021-09-05,7,52,13.0
Swansea Bay UHB,2021-09-12,4,87,5.0
Swansea Bay UHB,2021-09-19,10,95,11.0
Swansea Bay UHB,2021-09-26,7,88,8.0
Swansea Bay UHB,2021-10-03,11,87,13.0
Swansea Bay UHB,2021-10-10,14,93,15.0
Swansea Bay UHB,2021-10-17,12,101,12.0
Swansea Bay UHB,2021-10-24,11,114,10.0
Swansea Bay UHB,2021-10-31,2,108,2.0
Swansea Bay UHB,2021-11-07,25,115,22.0
Swansea Bay UHB,2021-11-14,10,112,9.0
Swansea Bay UHB,2021-11-21,7,92,8.0
Swansea Bay UHB,2021-11-28,4,69,6.0
Swansea Bay UHB,2021-12-05,10,60,17.0
Swansea Bay UHB,2021-12-12,7,59,12.0
Swansea Bay UHB,2021-12-19,12,60,20.0
Swansea Bay UHB,2021-12-26,22,89,25.0
Swansea Bay UHB,2022-01-02,49,151,32.0
Swansea Bay UHB,2022-01-09,45,194,23.0
Swansea Bay UHB,2022-01-16,21,189,11.0
Swansea Bay UHB,2022-01-23,33,198,17.0
Swansea Bay UHB,2022-01-30,57,207,28.0
Swansea Bay UHB,2022-02-06,43,188,23.0
Swansea Bay UHB,2022-02-13,25,166,15.0
Swansea Bay UHB,2022-02-20,35,165,21.0
Swansea Bay UHB,2022-02-27,34,147,23.0
Swansea Bay UHB,2022-03-06,32,147,22.0
Swansea Bay UHB,2022-03-13,28,148,19.0
Swansea Bay UHB,2022-03-20,32,158,20.0
Swansea Bay UHB,2022-03-27,37,176,21.0
Powys THB,2020-03-01,0,0,0.0
Powys THB,2020-03-08,0,0,0.0
Powys THB,2020-03-15,0,0,0.0
Powys THB,2020-03-22,0,0,0.0
Powys THB,2020-03-29,0,0,0.0
Powys THB,2020-04-05,3,3,100.0
Powys THB,2020-04-12,3,7,43.0
Powys THB,2020-04-19,6,12,50.0
Powys THB,2020-04-26,1,13,8.0
Powys THB,2020-05-03,4,18,22.0
